127.0.0.1 - - [10/Mar/2021:06:44:21 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Mar/2021:06:44:27 +0530] "GET /Student_Record_Management/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:06:44:27 +0530] "GET /Student_Record_Management/apj%20sir.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:06:44:27 +0530] "GET /Student_Record_Management/print.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:06:50:30 +0530] "GET /Student_Record_Management/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:06:50:30 +0530] "GET /Student_Record_Management/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:06:50:35 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:06:50:35 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39261
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:04:21 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:04:21 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 41189
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:04:38 +0530] "GET /Student_Record_Management/insertNewResult.jsp?rollNo=&rollNo= HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:05:48 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:05:48 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 41191
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:08:12 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39518
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:08:59 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39504
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:09:18 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39497
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:11:33 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:11:33 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39497
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:12:30 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39504
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:13:26 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39513
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:36:41 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:36:41 +0530] "GET /Student_Record_Management/errorAdminLogin.html HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:36:47 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:07:36:47 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39261
